County,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020,07/02/2020,07/03/2020,07/04/2020,07/05/2020,07/06/2020,07/07/2020,07/08/2020,07/09/2020,07/10/2020,07/11/2020,07/12/2020,07/13/2020,07/14/2020,07/15/2020,07/16/2020,07/17/2020,07/18/2020,07/19/2020,07/20/2020,07/21/2020,07/22/2020,07/23/2020,07/24/2020,07/25/2020,07/26/2020,07/27/2020,07/28/2020,07/29/2020,07/30/2020,07/31/2020,08/01/2020,08/02/2020,08/03/2020,08/04/2020,08/05/2020,08/06/2020,08/07/2020,08/08/2020,08/09/2020,08/10/2020,08/11/2020,08/12/2020,08/13/2020,08/14/2020,08/15/2020,08/16/2020,08/17/2020,08/18/2020,08/19/2020,08/20/2020,08/21/2020,08/22/2020,08/23/2020,08/24/2020,08/25/2020,08/26/2020,08/27/2020,08/28/2020,08/29/2020,08/30/2020,08/31/2020,09/01/2020,09/02/2020,09/03/2020,09/04/2020,09/05/2020,09/06/2020,09/07/2020,09/08/2020,09/09/2020,09/10/2020,09/11/2020,09/12/2020,09/13/2020,09/14/2020,09/15/2020,09/16/2020,09/17/2020,09/18/2020,09/19/2020,09/20/2020,09/21/2020,09/22/2020,09/23/2020,09/24/2020,09/25/2020,09/26/2020,09/27/2020,09/28/2020,09/29/2020,09/30/2020,10/01/2020,10/02/2020,10/03/2020,10/04/2020,10/05/2020,10/06/2020,10/07/2020,10/08/2020,10/09/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/01/2020,11/02/2020,11/03/2020,11/04/2020,11/05/2020,11/06/2020,11/07/2020,11/08/2020,11/09/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/01/2020,12/02/2020,12/03/2020,12/04/2020,12/05/2020,12/06/2020,12/07/2020,12/08/2020,12/09/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020,Unknown Date,Total
Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,7,14,5,7,0,11,11,3,12,8,2,0,49,5,6,35,4,0,1,19,3,4,10,5,2,0,15,14,13,42,12,8,5,1,5,6,11,9,0,0,4,0,1,4,0,0,0,0,0,1,0,4,0,0,0,37,0,17,9,1,0,1,4,5,1,1,0,0,111,41,1,4,0,1,0,3,218,62,2,14,25,0,0,2,4,8,4,26,2,4,9,8,3,15,59,335,239,35,36,38,4,30,1,4,0,2,2,0,0,4,7,0,2,12,2,5,9,0,51,19,13,10,39,93,28,11,6,4,11,3,0,14,24,1,3,9,3,5,0,1,13,24,2,9,2,11,1,3,5,7,3,4,151,29,53,7,0,6,5,3,66,7,5,6,3,2,5,7,2,1,0,0,0,9,1,2,3,6,10,0,6,4,2,0,1,1,0,4,0,3,0,4,4,1,3,3,1,1,19,2,1,3,5,4,1,8,4,2,0,8,7,5,16,3,6,46,0,3,4,16,0,7,0,22,18,15,15,14,9,13,24,12,3,27,22,17,10,24,21,5,16,33,8,16,13,11,8,21,50,42,40,18,36,37,22,7,43,36,39,43,47,42,9,0,88,32,40,20,159,4130
Andrews,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,1,0,0,2,0,1,0,1,4,0,0,7,2,2,4,2,1,0,9,3,6,10,8,2,0,3,2,9,3,3,2,1,6,3,6,2,7,2,1,1,7,1,4,1,1,1,2,0,87,3,2,2,0,3,1,1,2,0,0,0,2,0,2,0,2,0,0,0,1,1,0,6,0,0,1,1,0,1,0,0,0,1,1,0,0,0,4,0,1,1,0,1,2,6,0,0,1,0,1,0,0,1,3,3,0,2,1,5,0,1,5,0,0,0,7,0,6,0,2,0,9,2,3,9,2,2,1,4,1,0,7,4,8,4,0,0,3,8,1,4,1,2,0,37,13,8,7,3,1,0,4,2,11,9,3,6,10,1,18,11,8,6,15,8,4,10,6,5,14,3,3,6,5,5,3,3,7,4,4,96,6,4,4,7,5,7,6,10,11,1,6,8,0,0,2,5,1,15,853
Angelina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,1,0,1,2,0,1,0,0,0,0,1,0,2,4,0,0,0,4,0,0,3,3,0,0,3,3,2,1,1,1,0,4,11,1,3,2,0,0,1,1,1,6,0,0,0,6,2,2,1,1,0,0,0,0,4,2,0,0,0,1,0,0,53,16,6,0,3,24,17,6,18,0,2,5,1,12,16,24,9,11,10,2,14,0,2,9,17,8,12,8,63,17,11,2,8,18,3,23,1,24,13,17,16,17,8,6,40,17,11,27,31,14,33,82,25,30,16,0,46,60,94,30,2,80,27,7,18,109,33,24,43,18,9,34,11,0,12,21,8,3,10,4,4,1,4,10,3,5,8,1,7,5,3,2,1,7,4,3,1,3,12,0,7,14,1,2,5,10,6,11,1,8,1,1,7,2,0,0,12,1,4,3,4,5,0,2,2,1,2,4,1,0,2,1,0,1,0,0,1,5,2,1,1,1,1,0,1,3,0,5,0,1,0,2,3,4,1,2,0,5,24,0,8,0,6,0,19,0,19,14,10,31,34,6,33,20,6,14,105,23,50,6,11,15,47,50,61,56,50,11,42,52,58,49,16,92,25,30,93,37,66,58,53,21,37,37,170,22,0,17,53,40,92,166,3968
Aransas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,4,2,2,1,1,2,5,4,4,2,1,4,3,2,1,4,6,5,1,5,0,10,4,2,1,5,4,5,5,8,2,4,3,0,6,5,1,2,5,3,0,7,2,7,2,10,6,2,7,2,2,5,3,1,2,2,10,2,1,3,2,3,1,1,3,1,2,0,0,1,1,7,4,1,1,1,1,0,3,0,0,2,5,2,2,0,4,2,0,0,2,0,1,0,0,0,0,2,0,14,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,2,3,3,2,0,1,0,0,0,1,0,0,1,1,1,1,4,0,0,3,1,1,0,2,0,1,2,1,1,4,7,9,0,3,8,6,0,6,6,11,2,2,5,3,5,5,1,3,6,3,5,3,10,4,4,5,5,3,8,3,1,10,1,3,3,2,5,0,5,9,3,5,59,575
Archer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,3,0,2,1,0,0,0,1,0,0,0,0,2,1,2,1,1,1,0,0,2,2,0,0,0,0,0,3,1,1,4,1,1,0,2,0,5,2,0,0,0,2,0,0,0,0,1,0,1,0,4,1,6,1,2,0,0,2,7,1,0,0,1,0,4,0,1,1,0,0,2,5,3,0,1,3,1,4,3,1,16,0,0,2,8,0,5,2,0,2,7,13,2,3,5,0,1,2,0,1,1,0,0,4,8,3,2,1,7,0,6,1,9,13,4,7,1,5,3,2,2,6,8,5,4,4,11,6,0,8,17,7,3,3,8,5,10,2,2,14,4,5,7,6,1,9,23,4,9,15,2,4,0,4,8,11,9,31,536
Armstrong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,6,0,0,1,1,0,2,2,0,0,0,1,0,3,1,1,2,0,0,0,3,0,1,0,5,3,6,0,6,2,2,0,4,3,1,2,0,2,2,1,1,1,3,0,0,1,3,0,0,4,3,1,1,2,0,2,4,2,1,1,5,0,0,0,2,0,0,6,130
Atascosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,3,0,0,1,0,0,1,1,4,0,3,2,4,0,4,3,5,3,4,5,9,14,9,6,8,8,11,18,10,8,20,43,17,15,15,29,17,12,38,17,6,12,23,28,14,8,9,7,14,15,10,9,10,6,33,2,41,13,16,11,14,31,14,25,24,8,20,4,0,7,11,7,7,12,3,6,5,9,4,7,9,7,1,12,12,3,3,0,6,0,5,5,5,5,6,2,12,13,4,10,9,8,6,7,2,0,5,8,1,4,0,7,1,3,0,2,1,0,0,1,2,3,1,0,1,1,3,5,1,2,1,4,4,5,0,1,1,4,1,1,4,4,5,3,3,2,7,3,3,3,6,0,5,6,8,1,11,11,3,8,7,5,7,8,5,16,22,25,25,10,11,28,33,19,11,28,17,25,14,21,17,27,16,25,47,44,32,18,50,30,38,25,29,26,30,31,35,18,21,37,37,0,15,29,48,19,85,2380
Austin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0,0,0,2,0,0,0,3,0,0,1,1,1,2,1,1,1,1,7,0,2,0,1,3,6,2,3,1,6,1,7,12,4,10,10,2,3,2,7,5,5,7,0,1,5,3,3,2,4,3,3,11,7,6,4,2,1,1,2,1,13,2,11,12,53,20,7,14,8,9,7,0,0,7,17,15,3,7,3,2,0,0,1,5,7,1,0,2,0,1,4,1,2,1,1,9,3,2,0,0,2,2,8,1,0,3,1,1,0,1,5,3,0,0,1,2,3,0,0,5,0,0,1,0,1,0,0,0,0,1,2,1,1,1,0,0,1,0,1,4,1,0,0,0,0,0,0,4,0,0,1,0,0,1,2,0,8,0,1,1,0,5,0,2,0,5,3,4,7,9,7,9,2,9,4,12,19,11,2,14,4,7,15,8,14,3,0,10,5,7,5,6,16,18,13,7,10,7,18,19,11,9,11,29,12,1,10,15,5,12,63,1022
Bailey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,1,0,0,1,0,0,0,3,1,1,2,3,0,0,0,2,0,1,2,0,0,1,1,0,2,0,0,6,9,5,6,0,1,0,26,0,0,3,4,0,1,2,5,2,2,0,0,0,0,3,0,1,1,0,0,1,3,3,4,2,0,0,0,2,0,1,1,0,0,2,6,2,4,1,1,0,4,1,18,6,1,0,0,1,4,5,3,3,2,0,2,3,5,1,0,0,1,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,2,0,0,0,0,0,3,3,4,0,0,0,3,1,0,2,1,0,0,0,2,0,0,1,4,0,2,1,5,0,6,0,0,2,3,5,4,4,0,1,11,7,1,13,3,1,6,2,3,3,14,3,1,1,5,16,24,13,12,0,0,3,8,5,7,9,1,3,13,9,10,0,1,3,1,2,15,10,2,8,0,0,8,3,9,8,3,0,0,0,3,3,3,2,0,0,5,1,1,1,1,1,0,2,1,5,1,5,585
Bandera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,2,0,1,0,2,1,1,0,0,0,0,0,5,0,1,2,0,1,5,2,1,9,0,0,7,6,2,4,0,0,0,0,4,6,1,3,6,0,2,6,1,3,7,0,0,1,1,1,1,1,1,0,1,1,2,1,4,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,1,3,0,1,1,1,0,2,1,0,1,1,3,0,0,1,1,1,0,1,0,0,0,1,0,0,2,4,0,0,0,0,0,2,0,0,0,1,0,3,2,1,0,0,0,1,0,2,0,0,2,2,1,3,1,0,1,3,1,0,4,3,1,0,0,3,4,3,6,2,1,3,4,5,2,6,12,13,1,4,8,2,9,7,2,5,4,7,3,7,1,5,13,10,11,3,10,6,10,13,10,10,4,11,4,0,12,16,21,7,20,508
