County,01/01/2022,01/02/2022,01/03/2022,01/04/2022,01/05/2022,01/06/2022,01/07/2022,01/08/2022,01/09/2022,01/10/2022,01/11/2022,01/12/2022,01/13/2022,01/14/2022,01/15/2022,01/16/2022,01/17/2022,01/18/2022,01/19/2022,01/20/2022,01/21/2022,01/22/2022,01/23/2022,01/24/2022,01/25/2022,01/26/2022,01/27/2022,01/28/2022,01/29/2022,01/30/2022,01/31/2022,02/01/2022,02/02/2022,02/03/2022,02/04/2022,02/05/2022,02/06/2022,02/07/2022,02/08/2022,02/09/2022,02/10/2022,02/11/2022,02/12/2022,02/13/2022,02/14/2022,02/15/2022,02/16/2022,02/17/2022,02/18/2022,02/19/2022,02/20/2022,02/21/2022,02/22/2022,02/23/2022,02/24/2022,02/25/2022,02/26/2022,02/27/2022,02/28/2022,03/01/2022,03/02/2022,03/03/2022,03/04/2022,03/05/2022
Anderson,48,42,54,33,34,18,22,27,12,52,39,22,63,29,22,23,27,9,13,43,34,35,25,18,14,19,16,8,9,23,7,8,11,39,8,8,11,4,5,1,1,3,7,4,1,5,4,4,1,2,1,1,4,1,1,1,2,0,0,1,0,3,1,2
Andrews,3,3,1,10,44,37,32,37,6,1,11,38,135,46,62,76,10,3,35,27,20,58,5,0,58,28,31,4,16,22,1,21,2,12,2,0,0,1,0,7,3,5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
Angelina,42,34,48,32,27,12,60,24,27,26,37,46,27,70,62,19,56,26,36,83,74,70,53,43,42,28,55,32,30,56,38,21,34,37,32,8,31,12,6,18,11,18,8,10,7,4,4,1,6,2,0,5,2,0,1,6,9,0,0,1,0,0,2,1
Aransas,8,10,10,8,22,17,21,15,14,20,16,39,42,29,27,25,16,22,45,22,43,36,31,26,42,22,22,25,30,36,23,21,26,25,24,6,27,15,28,18,9,13,7,2,11,6,4,2,6,7,2,2,5,4,3,2,0,3,2,3,1,3,1,1
Archer,9,16,17,22,15,9,17,5,9,13,19,37,21,19,40,5,27,22,12,22,13,21,16,18,14,12,14,19,15,9,14,9,13,4,7,0,8,1,3,7,3,3,4,2,0,1,2,1,2,0,2,0,1,0,0,0,1,0,1,1,2,0,0,0
Armstrong,0,1,3,1,1,1,0,2,1,0,0,2,0,3,1,2,0,3,0,1,1,0,4,4,2,2,2,0,2,0,1,0,2,1,0,0,0,0,0,1,6,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
Atascosa,37,36,42,55,40,26,43,49,44,76,114,135,88,66,151,86,333,89,134,155,102,166,75,127,250,64,73,69,151,55,30,57,46,40,43,61,34,14,22,22,15,29,38,12,3,10,12,10,4,25,9,5,3,2,10,3,9,1,13,9,8,6,5,7
Austin,33,39,33,57,23,17,35,20,22,21,26,31,49,31,47,37,43,22,30,29,32,51,41,36,28,15,21,22,28,33,30,20,32,25,19,12,27,13,6,14,12,14,10,7,3,9,5,5,18,8,2,2,6,6,4,7,4,1,1,1,3,3,4,3
Bailey,0,0,1,1,0,2,1,2,2,2,1,2,1,0,10,2,4,2,1,2,4,5,1,2,1,0,2,0,0,3,1,0,2,2,0,0,1,0,1,0,0,1,0,0,0,0,5,1,1,0,1,0,1,0,0,0,0,0,0,3,2,0,0,1
Bandera,19,14,11,29,13,13,7,16,4,14,17,14,23,18,24,8,25,12,13,15,17,7,29,17,21,9,28,17,14,13,8,20,8,17,17,6,13,9,4,5,10,8,3,4,4,1,4,1,0,3,0,2,0,2,1,0,1,1,2,2,1,3,1,3
Bastrop,109,146,143,81,94,66,135,119,96,111,99,141,245,181,137,48,351,94,158,158,151,131,88,57,79,52,93,38,64,49,66,78,53,36,50,27,16,28,33,32,40,118,62,17,9,34,15,16,6,17,3,6,9,6,11,4,15,0,11,9,4,1,10,4
Baylor,0,1,2,3,1,1,2,3,1,3,3,2,1,3,6,0,7,4,3,7,4,6,6,1,0,0,2,3,2,2,1,0,1,0,1,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bee,2,12,38,21,26,16,23,24,15,15,11,32,18,24,37,72,20,32,28,43,52,48,28,28,19,19,33,36,15,31,32,9,10,18,23,9,36,21,12,6,12,8,17,5,7,5,4,7,6,9,2,1,4,4,6,4,4,1,3,6,7,2,6,3
Bell,271,311,442,241,180,284,326,310,117,389,223,416,637,397,270,389,501,340,598,348,636,1508,655,498,576,265,327,300,387,244,283,199,225,330,226,140,135,85,88,109,90,137,78,52,44,56,54,33,44,25,20,19,37,10,28,24,15,7,30,7,13,15,19,13
Bexar,3536,3213,3566,4298,2750,1932,4450,3905,3362,4044,4388,8131,5515,3756,7115,4092,8669,5633,6832,5670,5551,4920,3720,6649,5372,4562,4335,4568,4755,2513,2666,5504,2695,1860,1637,1725,2281,1463,1153,871,1012,1100,871,707,410,1236,509,492,405,608,167,307,575,288,355,342,297,89,582,361,261,227,267,248
Blanco,9,10,11,5,8,1,6,1,3,9,6,15,15,8,11,3,17,8,9,4,8,18,9,9,14,12,10,7,7,14,20,12,5,7,8,2,10,2,2,5,7,15,4,2,1,2,1,2,2,5,1,1,1,1,2,1,0,1,1,5,0,0,2,0
Borden,2,0,1,0,1,3,1,0,0,0,3,1,3,1,1,0,0,1,0,0,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bosque,7,6,20,8,5,9,7,11,5,16,9,12,24,13,19,9,7,5,16,51,60,32,48,17,26,11,16,22,21,21,8,2,5,6,10,9,5,2,14,9,1,7,4,1,1,20,2,6,2,3,0,2,8,7,5,2,0,0,0,2,4,3,2,1
Bowie,29,36,52,57,35,32,85,68,70,85,38,91,91,114,112,41,135,40,46,112,140,91,93,70,51,33,64,98,61,31,41,24,69,85,55,34,29,8,30,12,73,26,29,15,7,10,3,14,17,11,1,3,10,16,12,8,20,1,3,3,1,3,2,2
Brazoria,1100,1068,1163,982,886,509,795,528,520,567,656,836,894,554,684,617,645,441,534,308,535,539,656,322,365,311,326,338,323,366,264,266,292,278,218,108,260,173,128,172,123,138,137,101,102,77,92,62,99,67,34,36,50,26,43,44,43,12,20,27,13,14,15,59
Brazos,940,384,627,443,505,826,826,463,380,432,410,276,587,409,818,565,452,231,499,406,661,562,851,352,219,476,388,383,420,314,175,107,245,366,199,70,164,62,50,142,125,99,70,43,47,28,42,63,43,34,17,11,30,21,27,29,12,7,11,10,16,23,14,12
Brewster,0,0,0,0,0,0,1,2,0,2,2,3,4,0,2,2,2,0,2,0,1,3,2,4,3,0,0,0,1,1,1,1,0,1,3,2,1,0,0,0,1,6,2,0,1,1,3,2,0,5,0,1,3,2,0,1,0,0,0,0,0,0,0,0
